Land,Aantal klikken,Vertoningen,CTR,Positie
Nederland,216,141684,0.15%,30.97
België,8,10977,0.07%,28.9
Japan,2,37,5.41%,17.73
India,1,161,0.62%,33.03
Kosovo,1,2,50%,1
Verenigde Staten,0,3454,0%,18.81
Luxemburg,0,1308,0%,23.78
Duitsland,0,542,0%,34.31
Spanje,0,301,0%,27.34
Verenigd Koninkrijk,0,252,0%,41.9
Brazilië,0,149,0%,27.77
Frankrijk,0,129,0%,30.74
Canada,0,113,0%,24.62
Italië,0,100,0%,21.02
Zwitserland,0,98,0%,38.41
Suriname,0,87,0%,7.71
Oostenrijk,0,78,0%,53.82
Indonesië,0,66,0%,20.45
Australië,0,66,0%,28.14
Zweden,0,58,0%,26.74
Vietnam,0,53,0%,37.64
Rusland,0,45,0%,21.96
Curaçao (Nederlandse Antillen),0,34,0%,8
Filipijnen,0,33,0%,33.55
Mexico,0,31,0%,23.03
Polen,0,29,0%,13.72
Denemarken,0,29,0%,53.55
Thailand,0,28,0%,21.68
Turkije,0,28,0%,25.68
Argentinië,0,27,0%,24.7
Portugal,0,26,0%,13.62
Zuid-Afrika,0,26,0%,23.5
Zuid-Korea,0,25,0%,21.96
Maleisië,0,25,0%,28.52
Ierland,0,24,0%,28.75
Hongarije,0,22,0%,28.73
Oekraïne,0,22,0%,33.55
Singapore,0,21,0%,10.24
Colombia,0,21,0%,20.29
Noorwegen,0,21,0%,21.29
Chili,0,19,0%,15.16
Macedonië,0,19,0%,39.53
Pakistan,0,18,0%,27.17
Saudi-Arabië,0,18,0%,36.5
Marokko,0,17,0%,23.71
Bangladesh,0,17,0%,27.65
Roemenië,0,15,0%,23.87
Verenigde Arabische Emiraten,0,15,0%,32.47
Hongkong,0,14,0%,11.57
China,0,14,0%,12.93
Griekenland,0,14,0%,15.14
Finland,0,14,0%,27.64
Peru,0,13,0%,13.15
Egypte,0,13,0%,16.46
Bulgarije,0,13,0%,19.85
Aruba,0,12,0%,5
Irak,0,11,0%,32.18
Tsjechië,0,9,0%,14.67
Kroatië,0,9,0%,17.67
Nigeria,0,9,0%,19.89
Algerije,0,9,0%,22.78
Israël,0,9,0%,27.22
Oezbekistan,0,9,0%,31.67
Caribisch Nederland,0,8,0%,6.88
Ecuador,0,8,0%,19.38
Litouwen,0,6,0%,7.67
Malta,0,6,0%,10.33
Nieuw-Zeeland,0,6,0%,14.5
Slowakije,0,6,0%,15.5
Taiwan,0,6,0%,23
Nepal,0,6,0%,23.67
Venezuela,0,6,0%,34.83
Namibië,0,5,0%,10.6
Dominicaanse Republiek,0,5,0%,11.2
Libanon,0,5,0%,21.2
Bolivia,0,5,0%,21.6
Koeweit,0,5,0%,22.2
Kazachstan,0,5,0%,30.8
Bahrein,0,5,0%,34.4
Qatar,0,5,0%,38.2
Ethiopië,0,4,0%,17.5
Servië,0,4,0%,22.75
Belarus,0,4,0%,23.25
Libië,0,4,0%,24.75
Albanië,0,4,0%,29.25
Ivoorkust,0,3,0%,14
Myanmar (Birma),0,3,0%,23.33
Ghana,0,3,0%,32.33
Tunesië,0,3,0%,32.67
Oman,0,3,0%,35.67
Oeganda,0,3,0%,42.33
Palestina,0,3,0%,47
Senegal,0,3,0%,66
Kenia,0,3,0%,71
Paraguay,0,2,0%,4
Slovenië,0,2,0%,10
Belize,0,2,0%,11.5
Sri Lanka,0,2,0%,16.5
Honduras,0,2,0%,17
Laos,0,2,0%,18
Georgië,0,2,0%,22
Mauritius,0,2,0%,22.5
Jordanië,0,2,0%,42
Costa Rica,0,2,0%,44.5
Azerbeidzjan,0,2,0%,51.5
IJsland,0,1,0%,1
Maldiven,0,1,0%,1
Gibraltar,0,1,0%,4
Letland,0,1,0%,4
Jamaica,0,1,0%,5
Nicaragua,0,1,0%,5
Trinidad en Tobago,0,1,0%,5
Guinee,0,1,0%,6
Jemen,0,1,0%,6
Andorra,0,1,0%,7
Barbados,0,1,0%,7
Kaapverdië,0,1,0%,7
Moldavië,0,1,0%,7
El Salvador,0,1,0%,7
Sint Maarten,0,1,0%,7
Afghanistan,0,1,0%,9
Burkina Faso,0,1,0%,9
Syrië,0,1,0%,9
Sudan,0,1,0%,11
Benin,0,1,0%,12
Bhutan,0,1,0%,12
Cyprus,0,1,0%,12
Gambia,0,1,0%,12
Macau,0,1,0%,13
Onbekende Regio,0,1,0%,14
Estland,0,1,0%,19
Cambodja,0,1,0%,33
Papoea-Nieuw-Guinea,0,1,0%,37
Zimbabwe,0,1,0%,37
Botswana,0,1,0%,39
Uruguay,0,1,0%,41
Kirgizië,0,1,0%,53
Samoa,0,1,0%,92
